"Date","StateOfOccurrence","Location","Model","Registration","Operator","StateOfOperator","StateOfRegistry","FlightPhase","Class","Fatalities","Over2250","Over5700","ScheduledCommercial","InjuryLevel","TypeDesignator","Helicopter","Airplane","Engines","EngineType","Official","OccCats","Risk","Year"
"""2008-01-03T00:00:00.000Z""","USA","Oklahoma City","PILATUS PC12","N398J","",,"USA","Standing","Accident",1,true,false,"","Fatal","PC12",false,true,1,"Turboprop","","[""RAMP""]","RS",2008
"""2008-01-05T00:00:00.000Z""","USA","Kodiak","PIPER PA31P 350","N509FN","Servant Air",,"USA","Take-off","Accident",6,true,"",false,"Fatal","PA47",false,true,1,"Jet","","[""LOC-I"",""SCF-NP""]","LOC-I",2008
"""2008-01-07T00:00:00.000Z""","USA","DeLand","","N801DS","",,"USA","En route","Accident",0,true,false,"","None","RAV3",false,true,1,"Piston","","[""SCF-PP"",""F-NI""]","SCF",2008
"""2008-01-08T00:00:00.000Z""","USA","","Piper Aircraft Inc PA-46 Malibu","N295S","Alan Robinson","","USA","En route","Accident",0,false,false,false,"None","PA46",false,true,1,"Piston","","[]","TURB",2008
"""2008-01-08T00:00:00.000Z""","USA","","Robinson Helicopter Company R22","N179SH","Silver State Helicopters Ltd","","USA","En route","Accident",0,false,false,false,"Serious","R22",true,false,1,"Piston","","[]","",2008
"""2008-01-08T00:00:00.000Z""","USA","","Robinson Helicopter Company R22","N8280J","California Aviation Services Inc","","USA","Landing","Accident",0,false,false,false,"None","R22",true,false,1,"Piston","","[]","",2008
"""2008-01-09T00:00:00.000Z""","USA","Detroit","AIRBUS A319","N349NB","Northwest Airlines","USA","USA","Approach","Accident",0,true,true,true,"None","A319",,true,2,"Jet",true,"[""SCF-NP""]","SCF",2008
"""2008-01-12T00:00:00.000Z""","USA","Port Clinton","CESSNA 340","N2637Y","Corporate American Operator",,"USA","Approach","Accident",4,true,"",false,"Fatal","C340",false,true,2,"Piston","","[""LOC-I""]","LOC-I",2008
"""2008-01-12T00:00:00.000Z""","USA","","Bell Bell 206","N49588","Robert L Miars","","USA","Manoeuvring","Accident",0,false,false,false,"None","P39",false,true,1,"Piston","","[]","RS",2008
"""2008-01-13T00:00:00.000Z""","USA","San Francisco","BOEING 757 200","N508UA","United States United Air Lines Inc.",,"USA","Unknown","Accident",0,true,true,false,"None","ST75",false,true,1,"Piston","","[""RAMP""]","RS",2008
"""2008-01-13T00:00:00.000Z""","USA","San Francisco","CANADAIRREGIONAL JET SERIES 100/200","N705SK","United States Southwest Airlines Co. (San Antonio, Tx)","USA","USA","Taxi","Accident",0,true,true,true,"None","CRJ7",,true,2,"Jet",true,"[""RAMP""]","RS",2008
"""2008-01-14T00:00:00.000Z""","USA","Lihue","BEECH 1900","N410UB","United States ","USA","USA","Approach","Accident",1,true,true,true,"Fatal","B190",,true,2,"Turboprop",true,"[""CFIT""]","CFIT",2008
"""2008-01-15T00:00:00.000Z""","USA","","Robinson Helicopter Company R44","N122AA","Adkins Aviation LLC","","USA","Landing","Accident",0,false,false,false,"None","R44",true,false,1,"Piston","","[]","",2008
"""2008-01-15T00:00:00.000Z""","USA","Bethel","CESSNA 208","N454SF","Grant Aviation",,"USA","Landing","Accident",0,true,"",false,"Minor","C208",false,true,1,"Turboprop","","[""USOS""]","RS",2008
"""2008-01-16T00:00:00.000Z""","USA","Cleveland","RAYTHEON","N3217L","",,"USA","Take-off","Accident",1,true,false,"","Fatal","STAR",false,true,2,"Turboprop","","[""LOC-I""]","LOC-I",2008
"""2008-01-16T00:00:00.000Z""","USA","Tulsa","NORTH AMERICAN","N712AT","",,"USA","Take-off","Accident",1,true,false,false,"Fatal","NAVI",false,true,1,"Piston","","[""LOC-I"",""SCF-NP""]","LOC-I",2008
"""2008-01-16T00:00:00.000Z""","USA","Hereford , Texas","BEECH G58","N42SM","",,"USA","Landing","Accident",0,true,false,"","None","BE58",false,true,2,"Piston","","[""RE"",""LOC-G""]","RS",2008
"""2008-01-18T00:00:00.000Z""","USA","San Antonio","PIPER PA46 500TP","N169CA","William J &amp; Karen D Easterling",,"USA","Approach","Accident",1,true,"",false,"Fatal","PA47",false,true,1,"Jet","","[""LOC-I""]","LOC-I",2008
"""2008-01-20T00:00:00.000Z""","USA","Scottsdale","Epic Aircraft LT/ Dynasty","N351BM"," ",,"USA","Approach","Accident",0,true,"",false,"None","EPIC",false,true,1,"Turboprop","","[""ARC"",""SCF-NP""]","RS",2008
"""2008-01-22T00:00:00.000Z""","USA","","Robinson Helicopter Company R44","N18HB","Alex Mill Development Corp","","USA","Manoeuvring","Accident",2,false,false,false,"Fatal","R44",true,false,1,"Piston","","[]","",2008
"""2008-01-23T00:00:00.000Z""","USA","Cahokia","BEECH G58","N4626A","",,"USA","Landing","Accident",0,true,false,"","None","BE58",false,true,2,"Piston","","[""SCF-NP""]","SCF",2008
"""2008-01-25T00:00:00.000Z""","USA","","Robinson Helicopter Company R22","N705JJ","JJ Helicopters Inc","","USA","En route","Accident",1,false,false,false,"Fatal","R22",true,false,1,"Piston","","[]","",2008
"""2008-01-25T00:00:00.000Z""","USA","","Piper Aircraft Inc PA-31T","N411DL","Burt Aviation &amp; Transportation LLC","","USA","En route","Accident",0,false,false,false,"None","PA47",false,true,1,"Jet","","[]","TURB",2008
"""2008-01-29T00:00:00.000Z""","USA","Marathon","GRUMMAN G21","N21A","",,"USA","Landing","Accident",0,true,false,"","Serious","GLF2",false,true,2,"Jet","","[""ARC"",""LOC-G""]","RS",2008
