"Date,StateOfOccurrence,Location,Model,Registration,Operator,StateOfOperator,StateOfRegistry,FlightPhase,Class,Fatalities,Over2250,Over5700,ScheduledCommercial,InjuryLevel,TypeDesignator,Helicopter,Airplane,Engines,EngineType,Official,OccCats,Risk,Year,SeriousFatalInjury,Destroyed"
"""2008-01-03T00:00:00.000Z"",USA,Oklahoma City,PILATUS PC12,N398J,,,USA,Standing,Accident,1.0,True,False,False,Fatal,PC12,False,True,1,Turboprop,,""[""""RAMP""""]"",RS,2008,1,0"
"""2008-01-05T00:00:00.000Z"",USA,Kodiak,PIPER PA31P 350,N509FN,Servant Air,,USA,Take-off,Accident,6.0,True,False,False,Fatal,PA47,False,True,1,Jet,,""[""""LOC-I"""",""""SCF-NP""""]"",LOC-I,2008,1,1"
"""2008-01-07T00:00:00.000Z"",USA,DeLand,RAV3,N801DS,,,USA,En route,Accident,0.0,True,False,False,None,RAV3,False,True,1,Piston,,""[""""SCF-PP"""",""""F-NI""""]"",SCF,2008,0,0"
"""2008-01-08T00:00:00.000Z"",USA,,Piper Aircraft Inc PA-46 Malibu,N295S,Alan Robinson,,USA,En route,Accident,0.0,False,False,False,None,PA46,False,True,1,Piston,,[],TURB,2008,0,0"
"""2008-01-12T00:00:00.000Z"",USA,Port Clinton,CESSNA 340,N2637Y,Corporate American Operator,,USA,Approach,Accident,4.0,True,False,False,Fatal,C340,False,True,2,Piston,,""[""""LOC-I""""]"",LOC-I,2008,1,1"
"""2008-01-12T00:00:00.000Z"",USA,,Bell Bell 206,N49588,Robert L Miars,,USA,Manoeuvring,Accident,0.0,False,False,False,None,P39,False,True,1,Piston,,[],RS,2008,0,0"
"""2008-01-13T00:00:00.000Z"",USA,San Francisco,BOEING 757 200,N508UA,United States United Air Lines Inc.,,USA,Unknown,Accident,0.0,True,True,False,None,ST75,False,True,1,Piston,,""[""""RAMP""""]"",RS,2008,0,0"
"""2008-01-15T00:00:00.000Z"",USA,Bethel,CESSNA 208,N454SF,Grant Aviation,,USA,Landing,Accident,0.0,True,False,False,Minor,C208,False,True,1,Turboprop,,""[""""USOS""""]"",RS,2008,0,0"
"""2008-01-16T00:00:00.000Z"",USA,Cleveland,RAYTHEON,N3217L,,,USA,Take-off,Accident,1.0,True,False,False,Fatal,STAR,False,True,2,Turboprop,,""[""""LOC-I""""]"",LOC-I,2008,1,1"
"""2008-01-16T00:00:00.000Z"",USA,Tulsa,NORTH AMERICAN,N712AT,,,USA,Take-off,Accident,1.0,True,False,False,Fatal,NAVI,False,True,1,Piston,,""[""""LOC-I"""",""""SCF-NP""""]"",LOC-I,2008,1,1"
"""2008-01-16T00:00:00.000Z"",USA,""Hereford , Texas"",BEECH G58,N42SM,,,USA,Landing,Accident,0.0,True,False,False,None,BE58,False,True,2,Piston,,""[""""RE"""",""""LOC-G""""]"",RS,2008,0,0"
"""2008-01-18T00:00:00.000Z"",USA,San Antonio,PIPER PA46 500TP,N169CA,William J &amp; Karen D Easterling,,USA,Approach,Accident,1.0,True,False,False,Fatal,PA47,False,True,1,Jet,,""[""""LOC-I""""]"",LOC-I,2008,1,1"
"""2008-01-20T00:00:00.000Z"",USA,Scottsdale,Epic Aircraft LT/ Dynasty,N351BM, ,,USA,Approach,Accident,0.0,True,False,False,None,EPIC,False,True,1,Turboprop,,""[""""ARC"""",""""SCF-NP""""]"",RS,2008,0,0"
"""2008-01-23T00:00:00.000Z"",USA,Cahokia,BEECH G58,N4626A,,,USA,Landing,Accident,0.0,True,False,False,None,BE58,False,True,2,Piston,,""[""""SCF-NP""""]"",SCF,2008,0,0"
"""2008-01-25T00:00:00.000Z"",USA,,Piper Aircraft Inc PA-31T,N411DL,Burt Aviation &amp; Transportation LLC,,USA,En route,Accident,0.0,False,False,False,None,PA47,False,True,1,Jet,,[],TURB,2008,0,0"
"""2008-01-29T00:00:00.000Z"",USA,Marathon,GRUMMAN G21,N21A,,,USA,Landing,Accident,0.0,True,False,False,Serious,GLF2,False,True,2,Jet,,""[""""ARC"""",""""LOC-G""""]"",RS,2008,1,0"
"""2008-01-29T00:00:00.000Z"",USA,,Bell OH-58,N902SF,Farm Aviation Inc,,USA,Manoeuvring,Accident,0.0,False,False,False,None,P39,False,True,1,Piston,,[],RS,2008,0,0"
"""2008-01-30T00:00:00.000Z"",USA,""Charlotte , North Carolina"",LEARJET 35,N55F,,,USA,Taxi,Accident,0.0,True,True,False,None,LJ35,False,True,2,Jet,,""[""""GCOL""""]"",RS,2008,0,0"
"""2008-01-31T00:00:00.000Z"",USA,""Meridian , Mississippi"",BEECH 90,N901JB,Globe Wholesale Inc,,USA,En route,Accident,0.0,True,False,False,None,BE9L,False,True,2,Turboprop,,""[""""LOC-I"""",""""TURB""""]"",LOC-I,2008,0,1"
"""2008-02-01T00:00:00.000Z"",USA,"" Fort Lauderdale-Executive Airport, FL (FXE)"",Rockwell International Sabreliner,N430MP,ABA Aviation Resources Inc,,USA,Taxi,Accident,0.0,True,True,False,None,SBR2,False,True,2,Jet,,[],RS,2008,0,0"
"""2008-02-01T00:00:00.000Z"",USA,""West Gardiner , Maine"",CESSNA 525 CITATIONJET,N102PT, ,,USA,Take-off,Accident,2.0,True,False,False,Fatal,C525,False,True,2,Jet,,""[""""LOC-I"""",""""ICE""""]"",LOC-I,2008,1,1"
"""2008-02-01T00:00:00.000Z"",USA,Ft. Lauderdale,ROCKWELL,N3RP,Qualint LLC,,USA,Taxi,Accident,0.0,True,True,False,Minor,AC11,False,True,1,Piston,,""[""""GCOL"""",""""SCF-NP""""]"",RS,2008,0,0"
